City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
taolanaro,,,,,,,,
mvuma,ZW,1618537134,-19.2792,30.5283,65,73,52.25,2.92
awjilah,LY,1618537134,29.1081,21.2869,1,34,67.38800000000005,3.25
punta arenas,CL,1618536943,-53.15,-70.9167,90,71,50.26999999999996,10.29
vallenar,CL,1618537134,-28.5708,-70.7581,99,70,65.53399999999999,1.03
salto,UY,1618537023,-31.3833,-57.9667,99,95,71.27599999999998,0.89
port elizabeth,ZA,1618537135,-33.918,25.5701,75,59,61.069999999999965,2.06
rikitea,PF,1618537055,-23.1203,-134.9692,87,74,77.97200000000004,4.92
rio gallegos,AR,1618537081,-51.6226,-69.2181,0,44,55.66999999999996,10.29
kasongo,CD,1618537136,-4.45,26.6667,99,96,68.684,1.18
jamestown,US,1618537136,42.097,-79.2353,90,93,36.266000000000005,4.12
port alfred,ZA,1618537072,-33.5906,26.891,100,58,63.62599999999999,6.75
gat,IL,1618537136,31.61,34.7642,99,29,65.26400000000004,0.28
karpogory,RU,1618537137,64.0019,44.4451,88,76,31.92799999999996,3.19
arraial do cabo,BR,1618537137,-22.9661,-42.0278,44,66,75.01999999999995,5.34
hermanus,ZA,1618537137,-34.4187,19.2345,20,70,63.266000000000005,4.02
sarangani,PH,1618537138,5.4033,125.4636,100,77,83.40800000000002,7.79
kamenka,RU,1618537138,51.3223,42.7678,92,80,47.26400000000003,1.88
pedernales,DO,1618537138,18.0384,-71.744,14,71,78.33200000000002,2.33
avarua,CK,1618537139,-21.2078,-159.775,1,61,84.46999999999997,5.14
saint-philippe,RE,1618537139,-21.3585,55.7679,0,69,77.26999999999995,2.57
stamsund,,,,,,,,
atocha,BO,1618537139,-20.9333,-66.2333,0,24,49.38800000000005,1.93
tuktoyaktuk,CA,1618537136,69.4541,-133.0374,90,92,16.069999999999958,7.2
te anau,NZ,1618537113,-45.4167,167.7167,12,54,53.725999999999985,2.88
kisiwani,TZ,1618537140,-4.1333,37.95,98,92,69.83599999999997,0.95
barrow,US,1618537140,71.2906,-156.7887,90,73,14.269999999999957,3.6
atuona,PF,1618537141,-9.8,-139.0333,56,69,81.17599999999999,7.13
mataura,NZ,1618537141,-46.1927,168.8643,44,59,57.272000000000034,5.36
aksehir,TR,1618537141,38.3575,31.4164,97,64,48.72200000000004,2.11
jinchang,CN,1618537142,38.4953,102.1739,0,12,49.33399999999999,6.34
americus,US,1618537142,32.0724,-84.2327,40,88,66.46999999999997,3.17
new norfolk,AU,1618537142,-42.7826,147.0587,60,70,58.26199999999996,1.79
lagoa,PT,1618537143,39.05,-27.9833,92,85,61.28599999999997,6.01
batagay,RU,1618537143,67.6333,134.6333,100,83,15.872000000000035,2.21
morant bay,JM,1618537143,17.8815,-76.4093,20,65,82.66999999999996,6.17
goderich,CA,1618537144,43.7501,-81.7165,100,93,37.66999999999996,6.69
ushuaia,AR,1618537144,-54.8,-68.3,40,71,46.66999999999996,3.09
saldanha,ZA,1618537066,-33.0117,17.9442,11,52,70.06999999999996,3.09
cururupu,BR,1618537144,-1.8283,-44.8683,72,97,75.2,1.23
vaini,TO,1618537069,-21.2,-175.2,20,69,80.86999999999996,4.12
kodiak,US,1618537145,57.79,-152.4072,90,75,43.06999999999996,4.12
hofn,IS,1618537145,64.2539,-15.2082,100,96,45.95,10.16
coquimbo,CL,1618537145,-29.9533,-71.3436,90,82,59.26999999999996,1.03
tasiilaq,GL,1618537146,65.6145,-37.6368,90,100,26.86999999999996,2.06
busselton,AU,1618537062,-33.65,115.3333,100,74,66.27200000000005,2.24
castro,BR,1618537146,-24.7911,-50.0119,3,95,56.156000000000034,1.69
whitehorse,CA,1618536921,60.7161,-135.0538,75,46,48.469999999999956,2.57
bambous virieux,MU,1618537147,-20.3428,57.7575,75,100,79.26799999999999,3.6
gimli,CA,1618537147,50.6336,-96.9907,94,52,41.26999999999996,1.03
puerto ayora,EC,1618537147,-0.7393,-90.3518,85,96,77.26999999999995,0.89
raudeberg,NO,1618537148,61.9875,5.1352,98,86,38.26400000000003,1.6
ingham,US,1618537148,42.6,-84.3833,90,81,42.27799999999996,2.57
tura,IN,1618537148,25.5198,90.2201,20,40,84.84800000000003,3.1
neiafu,TO,1618537149,-18.65,-173.9833,40,69,82.66999999999996,1.03
waingapu,ID,1618537144,-9.6567,120.2641,96,67,82.70600000000003,2.68
fortuna,US,1618537058,40.5982,-124.1573,1,82,57.272000000000034,4.12
cuencame,MX,1618537149,24.8711,-103.6964,1,7,79.01600000000002,6.52
hithadhoo,MV,1618537150,-0.6,73.0833,18,66,82.65199999999999,2.9
sao miguel do araguaia,BR,1618537150,-13.275,-50.1628,74,77,75.95600000000003,0.86
provideniya,RU,1618537118,64.3833,-173.3,90,67,17.86999999999996,4
srednekolymsk,RU,1618537113,67.45,153.6833,100,82,17.491999999999997,4.15
slavutych,UA,1618537150,51.5196,30.7343,100,88,45.193999999999974,0.87
longyearbyen,SJ,1618536978,78.2186,15.6401,90,73,21.469999999999956,3.6
talkha,EG,1618537151,31.0539,31.3779,65,88,56.62400000000001,2.8
mersing,MY,1618537151,2.4312,103.8405,20,94,77.26999999999995,1.54
litovko,RU,1618537152,49.2361,135.1742,100,61,38.785999999999966,3.28
east wenatchee bench,US,1618537152,47.4257,-120.2812,1,15,73.27400000000002,1.54
bone,DE,1618537152,51.9669,12.1396,100,74,41.26999999999996,0.89
egvekinot,RU,1618537153,66.3167,-179.1667,100,91,15.601999999999975,2.91
bluff,NZ,1618537153,-46.6,168.3333,42,59,57.272000000000034,5.36
cape town,ZA,1618537110,-33.9258,18.4232,0,77,66.27200000000005,3.09
albany,US,1618536915,42.6001,-73.9662,100,78,40.26199999999996,1.16
lahaina,US,1618537154,20.8783,-156.6825,1,54,80.86999999999996,6.69
shahreza,IR,1618537154,32.0339,51.8794,5,34,55.958000000000006,1.74
emba,KZ,1618537154,48.8264,58.1442,0,54,50.99000000000002,3.7
carnarvon,AU,1618537155,-24.8667,113.6333,0,30,80.74399999999997,7.3
karsun,RU,1618537155,54.1994,46.9827,100,65,50.50399999999995,1.51
tuatapere,NZ,1618537155,-46.1333,167.6833,52,59,57.272000000000034,5.36
alofi,NU,1618537155,-19.0595,-169.9187,20,65,82.66999999999996,2.57
hamilton,US,1618537033,39.1834,-84.5333,90,53,49.26199999999996,4.12
kapaa,US,1618537156,22.0752,-159.319,20,65,79.06999999999996,7.2
lompoc,US,1618537156,34.6391,-120.4579,36,76,55.66999999999996,6.17
upata,VE,1618537157,8.0086,-62.3989,64,78,82.27400000000002,1.34
san jeronimo,PE,1618537157,-11.9472,-75.2829,40,83,48.469999999999956,1.32
ilulissat,GL,1618537157,69.2167,-51.1,75,66,8.869999999999958,3.6
pitiquito,MX,1618537158,30.7,-112.0833,100,36,74.26400000000004,1.79
shimoda,JP,1618537158,34.6667,138.95,75,67,61.069999999999965,7.2
husavik,IS,1618537158,66.0449,-17.3389,40,71,50.26999999999996,1.54
sovetskiy,RU,1618537159,61.3614,63.5842,70,65,27.338000000000044,3.88
bredasdorp,ZA,1618537159,-34.5322,20.0403,78,63,62.86999999999996,6.69
souillac,MU,1618537159,-20.5167,57.5167,75,100,75.46999999999997,3.6
sentyabrskiy,,,,,,,,
vostok,RU,1618537148,46.4856,135.8833,100,35,51.89000000000002,3.54
vardo,NO,1618537160,70.3705,31.1107,100,81,36.68000000000004,9.55
santa cruz,BO,1618537160,-17.8,-63.1667,52,72,75.57799999999997,1.92
oksfjord,NO,1618537160,70.2396,22.3479,40,60,41.26999999999996,5.66
asau,RO,1618537161,46.4333,26.4,100,52,36.266000000000005,2.24
parkes,AU,1618537161,-33.1333,148.1833,96,39,66.25399999999996,3.67
opuwo,NA,1618537161,-18.0607,13.84,98,59,68.576,1.37
sitka,US,1618537162,57.0531,-135.33,1,81,46.66999999999996,1
lethem,GY,1618537162,3.3803,-59.7968,65,82,78.49399999999997,4.35
pitimbu,BR,1618537162,-7.4706,-34.8086,0,100,75.46999999999997,4.63
bethel,US,1618537163,41.3712,-73.414,100,95,43.26799999999999,0.45
campo verde,BR,1618537163,-20.4167,-54.0667,40,73,73.66999999999996,4.63
killam,CA,1618537163,52.7834,-111.8518,5,17,61.069999999999965,4.12
upernavik,GL,1618537164,72.7868,-56.1549,39,99,-17.62599999999999,1.86
hobyo,SO,1618537164,5.3505,48.5268,98,68,82.00399999999996,4.86
dalvik,IS,1618537164,65.9702,-18.5286,40,71,50.26999999999996,1.54
marawi,PH,1618537165,7.9986,124.2928,100,83,82.27400000000002,2.68
aranos,NA,1618537165,-24.1333,19.1167,50,25,68.75600000000003,2.38
plock,PL,1618537154,52.5468,19.7064,90,100,41.26999999999996,3.6
mangrol,IN,1618537165,21.1167,70.1167,0,75,78.96199999999996,4.42
qaanaaq,GL,1618537166,77.484,-69.3632,10,59,0.8059999999999761,3.8
sinnamary,GF,1618537166,5.3833,-52.95,98,83,78.53000000000004,5.69
hilo,US,1618537166,19.7297,-155.09,75,57,80.86999999999996,5.66
tuggurt,,,,,,,,
cabo san lucas,MX,1618537167,22.8909,-109.9124,1,36,82.66999999999996,5.14
narsaq,GL,1618537167,60.9167,-46.05,40,43,28.66999999999996,8.23
turukhansk,RU,1618537167,65.8167,87.9833,97,87,-3.387999999999998,7.94
beian,NO,1618537168,63.6559,9.5683,0,93,39.469999999999956,3.6
dorogobuzh,RU,1618537168,54.915,33.2972,100,91,48.32599999999999,6.14
butaritari,KI,1618537168,3.0707,172.7902,99,74,82.74199999999999,3.63
sampit,ID,1618537169,-2.5333,112.95,42,80,82.68800000000005,0.8
namibe,AO,1618537169,-15.1961,12.1522,4,75,81.21199999999996,2.53
ambilobe,MG,1618537169,-13.2,49.05,60,95,72.40999999999998,1.23
goundam,ML,1618537170,16.4145,-3.6708,52,16,85.424,5.3
pangnirtung,CA,1618537170,66.1451,-65.7125,16,84,-12.009999999999984,3.24
the valley,AI,1618537170,18.217,-63.0578,20,69,79.06999999999996,4.12
dikson,RU,1618537074,73.5069,80.5464,100,93,-8.445999999999998,7.97
orotukan,RU,1618537171,62.2667,151.7,100,73,17.81600000000001,1.93
yellowknife,CA,1618537171,62.456,-114.3525,75,52,43.06999999999996,3.6
chokurdakh,RU,1618537171,70.6333,147.9167,12,87,0.44599999999999795,0.66
cherskiy,RU,1618537172,68.75,161.3,100,92,25.214000000000034,5.32
bengkulu,ID,1618537172,-3.8004,102.2655,100,92,74.10199999999998,2.48
morden,CA,1618537172,49.1919,-98.1014,100,70,37.66999999999996,2.06
portland,US,1618536658,45.5234,-122.6762,1,23,75.46999999999997,3.6
burnie,AU,1618537173,-41.0667,145.9167,19,62,61.26799999999999,3.13
tautira,PF,1618537173,-17.7333,-149.15,75,70,87.27799999999996,6.17
grand gaube,MU,1618537174,-20.0064,57.6608,86,84,79.26799999999999,1.34
saskylakh,RU,1618537174,71.9167,114.0833,99,93,8.077999999999964,5.28
cidreira,BR,1618537057,-30.1811,-50.2056,96,79,71.95999999999998,6.65
katangli,RU,1618537174,51.7102,143.2326,6,90,36.14000000000002,3.93
vazante,BR,1618537175,-17.9869,-46.9078,33,70,67.74800000000002,1.07
kavieng,PG,1618537175,-2.5744,150.7967,77,71,83.51600000000002,3.89
hoopstad,ZA,1618537175,-27.8327,25.9083,0,32,63.12200000000004,3.18
port hardy,CA,1618537176,50.6996,-127.4199,1,63,59.26999999999996,3.09
mar del plata,AR,1618537176,-38.0023,-57.5575,0,94,67.26199999999996,2.57
barentsburg,,,,,,,,
slavyanka,RU,1618537176,42.8633,131.3847,100,83,44.34800000000003,8.75
byron bay,AU,1618536977,-28.65,153.6167,5,69,77.26999999999995,6.17
simao,CN,1618537177,22.7886,100.9748,91,27,79.808,1.42
vaitupu,,,,,,,,
waipawa,NZ,1618537177,-41.4122,175.5153,0,56,68.26999999999995,9.26
pyay,MM,1618537178,18.8167,95.2167,100,54,85.55000000000001,1.86
malwan,,,,,,,,
hobart,AU,1618537178,-42.8794,147.3294,20,50,58.26199999999996,5.66
rosarito,MX,1618537178,32.3333,-117.0333,75,72,62.86999999999996,5.14
fairbanks,US,1618537179,64.8378,-147.7164,1,42,48.469999999999956,2.06
sao filipe,CV,1618537179,14.8961,-24.4956,0,72,72.76999999999995,6.52
grand river south east,,,,,,,,
pousat,,,,,,,,
pisco,PE,1618537180,-13.7,-76.2167,0,82,66.46999999999997,7.72
gondar,ET,1618537180,12.6,37.4667,6,47,62.042,2.43
roche-la-moliere,FR,1618537180,45.4341,4.3228,0,86,26.86999999999996,1.54
tripoli,LY,1618537171,32.8752,13.1875,100,64,64.292,12.51
carmen,MX,1618536891,18.6333,-91.8333,1,79,84.46999999999997,4.12
mehamn,NO,1618537181,71.0357,27.8492,100,91,34.538000000000046,7.82
nanortalik,GL,1618537122,60.1432,-45.2371,8,73,25.48399999999999,21.69
thompson,CA,1618537181,55.7435,-97.8558,75,28,43.06999999999996,1.54
mahebourg,MU,1618537182,-20.4081,57.7,75,100,75.46999999999997,3.6
saint george,US,1618536544,37.1041,-113.5841,1,15,67.26199999999996,5.66
port augusta,AU,1618537182,-32.5,137.7667,40,77,65.26400000000004,3.6
newport,GB,1618537152,51.5877,-2.9984,8,84,40.26199999999996,2.95
kielce,PL,1618537182,50.8703,20.6275,100,98,33.943999999999974,3.82
parana,AR,1618537183,-31.732,-60.5238,51,76,72.26600000000002,0.45
koslan,RU,1618537183,63.4564,48.8989,40,70,31.406000000000027,2.11
jinxiang,CN,1618537183,27.4327,120.6062,8,75,65.71400000000003,1.72
plettenberg bay,ZA,1618537184,-34.0527,23.3716,100,72,60.440000000000026,5.38
pucallpa,PE,1618537184,-8.3791,-74.5539,40,89,79.06999999999996,1.54
aykhal,RU,1618537184,66,111.5,100,94,24.47599999999999,10.35
bereda,ES,1618537185,43.2686,-7.5406,0,95,36.266000000000005,2.24
abdanan,IR,1618537185,32.9926,47.4198,0,34,56.37200000000004,4.51
kabanjahe,ID,1618537173,3.1001,98.4908,20,89,79.06999999999996,3.09
belushya guba,,,,,,,,
severo-kurilsk,RU,1618537078,50.6789,156.125,89,71,32.288000000000046,9.01
ocampo,MX,1618537186,21.65,-101.5,1,13,69.54800000000003,2.71
roseau,DM,1618537186,15.3017,-61.3881,23,80,79.15999999999998,5.2
paraiso,CR,1618537186,9.8383,-83.8656,100,100,70.06999999999996,2.57
san quintin,MX,1618537187,30.4833,-115.95,68,73,58.280000000000044,6.86
halalo,,,,,,,,
dingle,PH,1618537187,10.9995,122.6711,100,64,85.81999999999996,3.87
muros,ES,1618537188,42.7762,-9.0603,0,64,48.272000000000034,3.13
maputo,MZ,1618537188,-25.9653,32.5892,75,94,75.27200000000005,6.17
vestmannaeyjar,IS,1618537188,63.4427,-20.2734,100,95,47.39000000000002,12.68
tiksi,RU,1618537075,71.6872,128.8694,90,94,7.358000000000004,1.67
forestville,US,1618537189,38.8451,-76.875,90,40,52.26799999999999,5.66
lasa,IT,1618537189,46.6166,10.7002,0,68,23.26999999999996,1.03
sedro-woolley,US,1618537189,48.5039,-122.2361,1,32,66.46999999999997,5.14
lewisporte,CA,1618537190,49.2499,-55.0482,90,100,32.26999999999996,9.26
lorengau,PG,1618537190,-2.0226,147.2712,60,67,84.88399999999999,2.49
bonthe,SL,1618537158,7.5264,-12.505,21,85,79.46600000000001,2.85
mount isa,AU,1618537099,-20.7333,139.5,0,19,88.06999999999996,3.09
naze,JP,1618537144,28.3667,129.4833,75,78,73.66999999999996,4.12
soyo,AO,1618537191,-6.1349,12.3689,100,84,79.41199999999995,2.38
faanui,PF,1618536905,-16.4833,-151.75,21,70,83.11999999999996,3.32
flinders,AU,1618537191,-34.5833,150.8552,40,52,71.27599999999998,6.17
college,US,1618537192,64.8569,-147.8028,40,36,48.469999999999956,3.09
laguna,US,1618537192,38.421,-121.4238,1,17,75.46999999999997,5.14
khatanga,RU,1618537083,71.9667,102.5,100,92,15.890000000000018,6.01
pueblo nuevo,MX,1618537192,23.3833,-105.3833,42,45,55.92200000000004,0.43
georgetown,MY,1618537193,5.4112,100.3354,20,89,79.06999999999996,1.03
constantine,DZ,1618537193,36.365,6.6147,75,93,52.069999999999965,3.09
pahrump,US,1618537193,36.2083,-115.9839,3,11,72.26600000000002,1.79
kruisfontein,ZA,1618537194,-34.0033,24.7314,100,66,61.26799999999999,0.45
quatre cocos,MU,1618537194,-20.2078,57.7625,75,100,79.26799999999999,3.6
palabuhanratu,,,,,,,,
havelock,US,1618537194,34.8791,-76.9013,90,77,64.66999999999996,4.63
luderitz,NA,1618537118,-26.6481,15.1594,95,31,77.80999999999997,3.78
deputatskiy,RU,1618537195,69.3,139.9,75,83,6.25999999999998,1.57
